full_name,a,e,i,om,w,q,ad,per_y,H,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T
"   433 Eros (1898 DQ)",1.457965049733974,.2226333843094292,10.82897925417546,304.3352603802251,178.7833319850016,1.133373356506834,1.782556742961114,1.76047098663881,11.16,16.84,34.4x11.2x11.2,0.25,5.270,4.463e-04,.921,.531,,S,S
"   719 Albert (1911 MT)",2.629845046171313,.551772789828196,11.55289382592962,184.0620457491692,155.7926293702832,1.178768108229506,4.080921984113118,4.26484686979521,15.4,,,,5.801,,,,,S,
"   887 Alinda (1918 DB)",2.478143357083758,.5675444737747382,9.359401304390579,110.5521995501332,350.3263757908009,1.071686789549293,3.884599924618222,3.9011966390795,13.4,4.2,,0.31,73.97,,.832,.436,,,S
"  1036 Ganymed (1924 TD)",2.662454123135412,.5338753660443283,26.69426776798157,215.5572797395989,132.5056183615839,1.241035453570263,4.083872792700562,4.34441597523889,9.45,31.66,,0.2926,10.297,,.842,.417,,S,S
"  1221 Amor (1932 EA1)",1.919305280590563,.435395783919931,11.87790597428965,171.3527963362595,26.61870030557262,1.083647853366172,2.754962707814954,2.65903644305139,17.7,1.0,,,,,,,,,
"  1566 Icarus (1949 MA)",1.077920643534661,.8269643453219718,22.83005491004241,88.02750521705663,31.35427654883476,.1865187042449815,1.969322582824341,1.11915022458458,16.9,1.0,,0.51,2.273,,.774,.520,,,
"  1580 Betulia (1950 KA)",2.196818499682077,.4874769531436197,52.09237910482555,62.31502797235856,159.4699395726068,1.12592011084752,3.267716888516634,3.2561129983697,14.5,5.8,,0.08,6.1324,,.656,.249,,,C
"  1620 Geographos (1951 RA)",1.245477394275147,.3355512079390568,13.33732476576611,337.2229969850436,276.8685371846608,.8275559501653327,1.663398838384962,1.38999096186145,15.60,2.56,5.0x2.0x2.1,0.3258,5.22204,,.862,.471,,S,S
"  1627 Ivar (1929 SH)",1.863122868455432,.396732615464061,8.449242844238467,133.1553821365179,167.6541373112987,1.123961259922205,2.602284476988659,2.54314104387856,13.2,9.12,,0.15,4.795,,.872,.459,,S,S
"  1685 Toro (1948 OA)",1.367218362762361,.4358543341900309,9.381321367174955,274.3053638952323,127.1249066963575,.7713103135681878,1.963126411956533,1.5986928264958,14.23,3.4,,0.31,10.1995,,.880,.470,,S,S
"  1862 Apollo (1932 HA)",1.470187033747968,.5598149506886114,6.352748536573438,35.7614983884343,285.8083224098556,.6471543519473134,2.293219715548623,1.78265410897783,16.25,1.5,,0.25,3.065,,.819,.481,,Q,Q
"  1863 Antinous (1948 EA)",2.258556066060235,.6068454924640654,18.39865584688683,346.5167106238067,268.0174001881898,.8879614978942093,3.62915063422626,3.39433354478844,15.54,2.1,,0.24,7.4568,,.763,.359,,Sq,SU
"  1864 Daedalus (1971 FA)",1.460953519140022,.6144622540167056,22.1964080089274,6.679898466569094,325.5670223777115,.5632527267556057,2.358654311524437,1.76588655756906,14.85,3.7,,,8.572,,.830,.500,,Sr,SQ
"  1865 Cerberus (1971 UA)",1.079928756017673,.4668666690479537,16.09663156709423,212.9464066116064,325.2309070659308,.5757460148866017,1.584111497148744,1.12227906238093,16.84,1.2,,0.22,6.8039,,.790,.442,,S,S
"  1866 Sisyphus (1972 XA)",1.893818726210349,.538293967010521,41.18974204578505,63.56059474040325,293.0454937633123,.8743875312797682,2.913249921140928,2.60624843852483,12.4,8.48,,0.15,2.400,,,,,S,
"  1915 Quetzalcoatl (1953 EA)",2.544735725573788,.5705056612314936,20.39797150790466,162.9638882781119,347.8221676985404,1.09294958779591,3.996521863351667,4.05949707329231,18.97,0.5,,0.21,4.9,,.784,.430,,,SMU
"  1916 Boreas (1953 RA)",2.271729209408155,.4501559699954035,12.88873096915026,340.6406212025899,335.8948739378586,1.249096743580136,3.294361675236175,3.42407323933508,14.93,3.5,,,3.49,,.852,.407,,S,S
"  1917 Cuyo (1968 AA)",2.150689159277825,.504048237149917,23.93085935619895,188.3404460873832,194.4123969968965,1.0666380798864,3.23474023866925,3.15409428340839,13.9,5.7,,,2.6890,,,,,Sl,
"  1943 Anteros (1973 EC)",1.430329891159124,.2558608988894338,8.705879881842439,246.3532077711367,338.3480213754997,1.064364399498724,1.796295382819523,1.71065536689757,15.75,2.3,,0.17,2.8695,,.841,.444,,L,S
"  1980 Tezcatlipoca (1950 LA)",1.709468915068058,.3649168385492604,26.86059755120784,246.6194417029789,115.4081498429035,1.085654922983188,2.333282907152928,2.23511572634031,13.92,4.3,,0.25,7.24612,,.955,.455,,Sl,SU
"  1981 Midas (1973 EA)",1.775829237136606,.6503250555816328,39.82947939447306,356.9298261814894,267.799833148366,.6209629897922541,2.930695484480957,2.36651905176276,15.2,3.4,,,5.220,,,,,V,
